265|1|2026-05-06|10:00|1|250
266|3|2026-05-06|10:30|2|280
267|7|2026-05-06|11:00|3|220
268|14|2026-05-06|12:00|1|280
269|22|2026-05-06|12:30|2|220
271|5|2026-05-06|14:00|1|220
272|9|2026-05-06|14:30|2|250
273|18|2026-05-06|15:00|3|280
274|35|2026-05-06|15:30|4|300
275|2|2026-05-06|16:00|1|300
276|11|2026-05-06|16:30|2|280
277|27|2026-05-06|17:00|3|220
278|42|2026-05-06|17:30|4|250
279|6|2026-05-06|18:00|1|320
280|19|2026-05-06|18:30|2|250
281|33|2026-05-06|19:00|3|280
282|45|2026-05-06|19:30|4|300
283|13|2026-05-06|20:00|1|280
284|48|2026-05-06|20:30|2|250
285|4|2026-05-07|10:00|1|300
286|16|2026-05-07|10:30|2|280
287|28|2026-05-07|11:00|3|220
288|38|2026-05-07|12:00|1|200
289|50|2026-05-07|12:30|2|280
290|8|2026-05-07|13:00|3|300
291|21|2026-05-07|13:30|4|220
292|36|2026-05-07|14:00|1|200
293|44|2026-05-07|14:30|2|250
294|12|2026-05-07|15:00|3|280
295|29|2026-05-07|15:30|4|220
296|1|2026-05-07|16:00|1|250
297|17|2026-05-07|16:30|2|280
298|39|2026-05-07|17:00|3|220
299|47|2026-05-07|17:30|4|250
300|3|2026-05-07|18:00|1|280
301|23|2026-05-07|18:30|2|220
302|40|2026-05-07|19:00|3|280
303|7|2026-05-07|19:30|4|220
304|49|2026-05-07|20:00|1|250
305|10|2026-05-08|10:00|1|280
306|24|2026-05-08|10:30|2|250
307|37|2026-05-08|11:00|3|220
308|46|2026-05-08|12:00|1|250
309|2|2026-05-08|12:30|2|300
310|15|2026-05-08|13:00|3|280
311|30|2026-05-08|13:30|4|280
312|43|2026-05-08|14:00|1|250
313|5|2026-05-08|14:30|2|220
314|20|2026-05-08|15:00|3|250
315|32|2026-05-08|15:30|4|220
316|48|2026-05-08|16:00|1|250
317|9|2026-05-08|16:30|2|250
318|26|2026-05-08|17:00|3|220
319|41|2026-05-08|17:30|4|280
320|14|2026-05-08|18:00|1|280
321|34|2026-05-08|18:30|2|280
322|6|2026-05-08|19:00|3|320
323|25|2026-05-08|19:30|4|220
324|50|2026-05-08|20:00|1|280
